No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
11,2026/4/22,2026年4月22日.,15:00,南部町,南部町,不明,山梨から静岡方面に向かう中部横断道走行中、樽峠トンネル上に熊を目撃,通行人,山間部,関係機関で情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.19966569,138.4610746
12,2026/4/25,2026年4月25日.,18:00,北杜市,大泉町西井出地内,晴れ,犬の散歩中に目撃目撃地点から沢沿いを西側に逃げていった,近隣住民,住宅街付近の畑,4月25日、午後6時45分頃通報。（通報者→北杜警察署→宿直室→林政課）防災無線及び看板による注意喚起、パトロール実施、猟友会への連絡。関係機関への情報共有,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.90264,138.41191
13,2026/4/26,2026年4月26日.,13:20,都留市,大野地内,曇り,県道都留道志線を目撃者が自動車で移動中、道坂トンネルから西へ１ｋｍ程進んだ付近の県道上でクマを目撃,通行者,山中,防災無線による注意喚起、警察署・猟友会・市とで情報共有。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.512245,138.960032
14,2026/4/29,2026年4月29日.,15:30,上野原市,秋山地内,曇り,不明,登山者,山中,防災無線による注意喚起,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,,
15,2026/4/29,2026年4月29日.,8:30,南アルプス市,上市之瀬地内,曇り,櫛形山、北尾根登山道1420ｍ近辺で目撃、その後の行動は不明,登山者,山林内,関係課への連絡,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,,
16,2026/4/29,2026年4月29日.,14:40,身延町,下山地内,晴れ,山へ逃げて行った,通行者,山間部,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.389587,138.439032
17,2026/5/1,2026年5月1日.,17:00,道志村,櫓沢付近,晴れ,山へ逃げてった,近隣住民,山,防災無線による注意喚起、現場確認及びパトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,"35.53223105822404,",139.0228588
18,2026/5/2,2026年5月2日.,16:30,身延町,相又地内,晴れ,山へ逃げて行った,近隣住民,山間部の集落,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.338834,138.423587
19,2026/5/5,2026年5月5日.,11:50,都留市,朝日馬場地内,晴れ,突坂峠でオトナのクマを目撃,通行者,山中,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.578254,138.988905
20,2026/5/7,2026年5月7日.,6:00,身延町,清澤地内,晴れ,山側から出没。その後は不明,歩行者,山間部の集落,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.449702,138.485917
21,2026/5/7,2026年5月7日.,17:35,山梨市,牧丘町室伏,晴れ,　　,　,　,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.749465,138.715438
22,2026/5/8,2026年5月8日.,1:45,甲府市,中畑町,晴れ,不明,通行人（車）,山間部の道路,パトロール実施、注意喚起看板を設置,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.57011,138.59731
23,2026/5/14,2026年5月14日.,18:35,身延町,帯金地内,晴れ,山側から富士川へ行った,通行者,集落付近,防災無線による注意喚起、檻設置の検討,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.382471,138.4543
24,2026/5/15,2026年5月15日.,8:30,笛吹市,芦川町上芦川地内,晴れ,笛吹市芦川町上芦川地内、FUJIYAMAツインテラスゲートより山側200m付近で目撃、山中に立ち去った,登山者,山林内,パトロール実施,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5610421,138.7398801
25,2026/5/16,2026年5月16日.,19:00,早川町,保,晴れ,早川中学校対岸へ逃げていった,住民,学校施設周辺,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4336,138.33219
26,2026/5/16,2026年5月16日.,9:00,甲州市,塩山三日市場地内,晴れ,畑に来たところ、糞を見つけた。知り合いの猟友会員に確認し、クマのものと確認,畑の所有者,畑の中の農道,猟友会への情報提供、周辺施設への注意喚起、警察への情報提供、市職員による現地確認、防災無線による注意喚起、捕獲罠の設置,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.717278,138.723917
27,2026/5/17,2026年5月17日.,12:00,富士吉田市,上吉田地内,晴れ,バスで富士スバルライン１合目～２合目の間を走行中に目撃。そのまま通過したためその後の行動は不明,バス運転手,山間部の公道,警官によるパトロール実施、猟友会・富士河口湖町役場へ情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.415022,138.738483
28,2026/5/17,2026年5月17日.,9:00,甲州市,塩山一ノ瀬高橋地内,晴れ,キャンプサイトから15ｍくらいの距離で笹を食べていた。しばらくして山の上（北西方向）の方に去っていった,キャンプ場宿泊者,山林内のキャンプ場,猟友会への情報提供、周辺施設への注意喚起、警察への情報提供,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.835528,138.83825
29,2026/5/20,2026年5月20日.,10:00,身延町,清澤地内,晴れ,桑の木に登っていた,通行者,山間部,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.447782,138.489584
30,2026/5/20,2026年5月20日.,16:30,上野原市,上野原地内,晴れ,不明,下校中の小学生,山間部の公道,防災無線等による注意喚起、周辺パトロール,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.61655,139.13352
31,2026/5/20,2026年5月20日.,16:00,市川三郷町,市川大門地内,晴れ,市川三郷町市川大門地内小字上原付近の山際にて小学生３名が目撃その後の行方は不明,下校中の小学生,近くに民家がある山際,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.558333,138.509528
32,2026/5/20,2026年5月20日.,14:00,富士河口湖町,河口地内,曇り,山へ登って行った,観光客,山林,パトロール実施（通報者が目撃者に聞いて連絡した）,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.536131,138.782701
